name,style,abv,ibu,brewer_name,tipo
Mud & Funk,Specialty Stouts,11.9,60.0,Brouwerij de Molen,Special
Murda'd Out Stout,Wood- and Barrel-Aged Dark Beer,13.9,60.0,Three Floyds Brewing Company,Stout
Muscovy,Wood- and Barrel-Aged Dark Beer,16.0,60.0,Alpha Brewing Co,Stout
My Black Parade,Strong Ale,12.5,40.0,The Lost Abbey,Ale
Nanquim,American-Style Imperial Stout,12.1,60.0,Fermentum Brewery,Stout
Narwhal Tawny Port Barrel Aged,American-Style Imperial Stout,11.4,60.0,Sierra Nevada Brewing Company,Stout
Nasty Woman,Belgian-Style Tripel,11.3,39.0,Lickinghole Creek Craft Brewery,Trappist
Nemesis 2009,Specialty Beer,12.0,112.0,Founders Brewing Company,Special
Nephilim,British-Style Barley Wine Ale,13.0,70.0,Reclamation Brewing Company,Ale
Nessie's Revenge,Scotch Ale,11.5,42.0,Sixpoint Brewery,Ale
New Crustacean Barlywineish Imperial IPA Sorta,American-Style Barley Wine Ale,11.6,82.0,Rogue Ales,Ale
Nieuw Ligt Grand Cru 2006,Belgian-Style Lambic,12.0,5.0,Stadsbrouwerij De Hemel,Lambic
Night Ender,American-Style Imperial Stout,11.9,60.0,Toxic Brew Company,Stout
Night Stalker,American-Style Imperial Stout,11.7,60.0,Goose Island Beer Company,Stout
Nighty Night Ale,Belgian-Style Dark Strong Ale,11.5,29.0,Buckeye Brewing Company,Ale
Nitro Apple Pi,Open Category Mead,14.0,1.0,B. Nektar Meadery,Mead
No Rules,American-Style Imperial Porter,15.0,34.0,Perrin Brewing Company,Porter
No. 21 Black Eye,Wood- and Barrel-Aged Dark Beer,16.4,60.0,Avery Brewing Company,Stout
No. 22 - 5 Monks,Belgian-Style Quadrupel,19.4,25.0,Avery Brewing Company,Trappist
No. 32 Imperial IPA,Imperial or Double India Pale Ale,14.2,40.0,The Freehouse,India Pale Ale
No. 6 - Margarete Barrel-Aged Sour Cherry Stout,Wood- and Barrel-Aged Dark Beer,15.4,60.0,Avery Brewing Company,Stout
No.15 - Momi Hiwa,Aged Beer (Ale or Lager),17.1,17.0,Avery Brewing Company,Lager
No.34 - Old Perseverance,Aged Beer (Ale or Lager),18.5,17.0,Avery Brewing Company,Lager
