name,style,abv,ibu,brewer_name,tipo
Double Ugly Rye Pale Ale,Rye Ale or Lager with or without Yeast,6.5,148.0,Aviator Brewing Company,Lager
Dr. Lupulin,Imperial or Double India Pale Ale,11.3,133.0,Revision Brewing Company,India Pale Ale
Dynamic Duo,Imperial or Double India Pale Ale,10.1,120.0,NoDa Brewing Company,India Pale Ale
Easy Shift,Session India Pale Ale,4.5,330.0,Fierce Beer,India Pale Ale
Edge City 1.5 IPA,Imperial or Double India Pale Ale,10.7,122.0,Bristol Brewing Company,India Pale Ale
Emotional Rescue,Imperial or Double India Pale Ale,9.0,150.0,Crazy Mountain Brewing,India Pale Ale
Ephraim,Imperial or Double India Pale Ale,10.3,280.0,Hill Farmstead Brewery,India Pale Ale
Excalibur Barleywine,American-Style Barley Wine Ale,11.0,128.0,Dragonmead Microbrewery,Ale
Fangorn,Imperial or Double India Pale Ale,8.9,145.0,Crow Peak Brewing Company,India Pale Ale
Finback IPA,American-Style India Pale Ale,7.2,112.0,Finback Brewery,India Pale Ale
First Coast Belgian Double IPA,Imperial or Double India Pale Ale,9.5,115.0,Brutopia Brewery,India Pale Ale
First Snow Double IPA,Imperial or Double India Pale Ale,7.2,128.0,Badass Backyard Brewing,India Pale Ale
Fisherman's Dead-Eye,Imperial or Double India Pale Ale,9.0,130.0,Cape Ann Brewing Company,India Pale Ale
Fortissimo,Imperial or Double India Pale Ale,9.6,165.0,Reprise Brewing,India Pale Ale
Fraxinus Maximus,Imperial or Double India Pale Ale,8.5,120.0,Cahaba Brewing Company,India Pale Ale
Fuffet Double IPA,Imperial or Double India Pale Ale,9.4,117.0,Flat12 Bierwerks,India Pale Ale
G/I/A/A V2.0 - Mezcal (Ghost 339),Imperial or Double India Pale Ale,11.0,127.0,Adroit Theory Brewing Company,India Pale Ale
G/I/A/A V2.0 (Ghost 195),Imperial or Double India Pale Ale,11.0,127.0,Adroit Theory Brewing Company,India Pale Ale
Galaxy High,Imperial or Double India Pale Ale,10.2,120.0,MadTree Brewing Company,India Pale Ale
Gallinipper,American-Style Barley Wine Ale,12.5,123.0,Cocoa Beach Brewing Company,Ale
Gargantuan Imperial IPA,Imperial or Double India Pale Ale,7.4,250.0,Sweet Mercy Brewing,India Pale Ale
Ghost Island Double IPA,Imperial or Double India Pale Ale,8.0,115.0,Thimble Island Brewing Company,India Pale Ale
Gin Wood Aged Camaraderie,Imperial or Double India Pale Ale,8.5,120.0,Infusion Brewing Company,India Pale Ale
Gorillanaut Imperial IPA,Imperial or Double India Pale Ale,9.0,275.0,Straight to Ale,India Pale Ale
Grilled Pineapple Berliner Weiss,Berliner-Style Weisse (Wheat),4.3,135.0,New Belgium Brewing,Wheat
Handlebar Rider,Imperial or Double India Pale Ale,9.5,135.0,Our Brewing Company,India Pale Ale
Hardcore IPA,Imperial or Double India Pale Ale,9.2,150.0,BrewDog,India Pale Ale
Heady Topper,Imperial or Double India Pale Ale,8.0,120.0,The Alchemist,India Pale Ale
Heavyweight Double IPA,Imperial or Double India Pale Ale,10.7,127.0,Double Shift Brewing,India Pale Ale
Hell's Frozen,American-Style India Pale Ale,7.9,120.0,Apocalypse Ale Works,India Pale Ale
Hellacious Repeats,Imperial or Double India Pale Ale,9.4,111.0,Ghost Runners Brewery,India Pale Ale
Hi-Res,Imperial or Double India Pale Ale,10.5,115.0,Sixpoint Brewery,India Pale Ale
Homework Series Batch #2,Imperial or Double India Pale Ale,10.0,118.0,Ballast Point Brewing Company,India Pale Ale
Hop Brutality,Imperial or Double India Pale Ale,9.8,128.0,Cool Springs Brewery,India Pale Ale
Hop Cakes,Imperial or Double India Pale Ale,10.0,118.0,NoDa Brewing Company,India Pale Ale
Hop Diggity,Imperial or Double India Pale Ale,8.2,118.0,Mother Earth Brew Company,India Pale Ale
Hop Rocket,Imperial or Double India Pale Ale,9.0,111.0,Arcadia Ales,India Pale Ale
Hop Warrior Imperial IPA,Imperial or Double India Pale Ale,8.7,120.0,Roosterfish Brewing Co.,India Pale Ale
Hop-On-Pop,Imperial or Double India Pale Ale,7.6,201.0,One Barrel Brewing,India Pale Ale
Hopageddon,Imperial or Double India Pale Ale,9.2,144.0,Napa Smith Brewery,India Pale Ale
Hoparillo,Imperial or Double India Pale Ale,11.1,122.0,Knee Deep Brewing Company,India Pale Ale
Hopbahn Double IPA,Imperial or Double India Pale Ale,8.7,130.0,Beach Haus Brewery,India Pale Ale
Hopknocker Imperial IPA,Imperial or Double India Pale Ale,10.0,136.0,Schmohz Brewing Company,India Pale Ale
Hopsessed,Imperial or Double India Pale Ale,9.1,119.0,Petoskey Brewing,India Pale Ale
Hoptasm,Imperial or Double India Pale Ale,8.7,125.0,Infusion Brewing Company,India Pale Ale
Hopzilla,American-Style India Pale Ale,10.7,130.0,Terrapin Beer Company,India Pale Ale
Hopzilla,Imperial or Double India Pale Ale,8.1,121.0,Milly's Tavern,India Pale Ale
Hubris,Imperial or Double India Pale Ale,10.0,250.0,Platform Beer Co.,India Pale Ale
Hutte Double IPA,Imperial or Double India Pale Ale,9.5,120.0,June Lake Brewing,India Pale Ale
Hypothesis,Imperial or Double India Pale Ale,9.0,130.0,River North Brewery,India Pale Ale
IIPA,Imperial or Double India Pale Ale,8.8,120.0,Pirate Life Brewing,India Pale Ale
IIpanema,Imperial or Double India Pale Ale,8.3,120.0,Novo Brazil Brewing Co.,India Pale Ale
Immortal Ten - Winchester,Imperial or Double India Pale Ale,10.0,133.0,Bluebonnet Beer Company,India Pale Ale
Imperial Black IPA,Imperial or Double India Pale Ale,8.6,117.0,Brasserie Dunham,India Pale Ale
"Imperial Hop, Drop 'N Roll",Imperial or Double India Pale Ale,10.0,119.0,NoDa Brewing Company,India Pale Ale
Imperial India Pale Ale,Imperial or Double India Pale Ale,11.0,135.0,Otter Creek Brewing,India Pale Ale
Imperial IPA,Imperial or Double India Pale Ale,8.6,122.0,Narragansett Brewing Company,India Pale Ale
Imperial Red Ale,Imperial Red Ale,9.0,135.0,Marble Brewery,Ale
Imperialist IPA,American-Style India Pale Ale,7.6,130.0,Hopster's,India Pale Ale
India Pale Ale (IPA),American-Style India Pale Ale,6.1,118.0,Anacortes Brewery,India Pale Ale
Inverted Jenny,Imperial or Double India Pale Ale,8.3,120.0,The ChopHouse & Brewery,India Pale Ale
Irie IPA,American-Style India Pale Ale,7.8,134.0,Tighthead Brewing Company,India Pale Ale
Iron And Steel,Imperial or Double India Pale Ale,9.6,115.0,MyGrain Brewing Co.,India Pale Ale
Iron And Steel,Imperial or Double India Pale Ale,9.6,115.0,Chantry BreweryWebsiteDirections,India Pale Ale
Is this the Real Life,American-Style India Pale Ale,7.2,122.0,Singlecut Beersmiths,India Pale Ale
